Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
201251-116,CUSHION,1.0302734,VS1,D,EX,EX,EX,M,6151.17,5.859375,5.5390625,3.7304688
200772-143,CUSHION,1.2900391,SI2,D,VG,EX,EX,F,6151.3,6.21875,6.1992188,4.3085938
210312-2,CUSHION,1.0,VVS1,F,EX,EX,VG,N,6153.36,5.6289062,5.609375,3.8007812
Eco Diamond LG200965,CUSHION,1.5800781,VS1,F,EX,EX,EX,N,6156.05,7.1914062,5.9414062,4.2382812
210042-145,CUSHION,1.0302734,VVS1,F,EX,EX,EX,ST,6168.37,6.3203125,5.3515625,3.6308594
211099-114,CUSHION,1.2001953,SI1,H,GD,EX,VG,N,6173.62,5.9101562,5.78125,4.1601562
201199-142,CUSHION,1.2001953,VVS1,H,VG,EX,VG,M,6176.57,6.8789062,5.9414062,3.9609375
Eco Diamond LG200638,CUSHION,1.7099609,VS1,G,EX,EX,VG,N,6182.97,7.8710938,6.5195312,4.4414062
Eco Diamond LG200873,CUSHION,1.5195312,VVS2,E,EX,EX,EX,N,6184.51,6.46875,6.421875,4.28125
201235-90,CUSHION,1.5097656,SI1,J,VG,EX,VG,N,6206.88,6.5585938,6.1796875,4.3203125
